,start station id,start station name,start station latitude,start station longitude,end station id,end station name,end station latitude,end station longitude,yearly_count
1556,3694,Jackson Square,40.71113,-74.0789,3185,City Hall,40.717732500000004,-74.04384499999999,44
1557,3792,Columbus Dr at Exchange Pl,40.71687,-74.03281,3209,Brunswick St,40.7241765,-74.05065640000001,137
1558,3214,Essex Light Rail,40.712774200000005,-74.03648570000001,3203,Hamilton Park,40.727595965999996,-74.044247311,141
1559,3220,5 Corners Library,40.73496102000952,-74.05950307846071,3269,Brunswick & 6th,40.726011729646245,-74.0503889322281,9
1560,3198,Heights Elevator,40.748715945380226,-74.04044330120088,3194,McGinley Square,40.7253399253558,-74.06762212514876,26
1561,3212,Christ Hospital,40.734785818,-74.050443636,3187,Warren St,40.721123600000006,-74.03805095,19
1562,3481,York St,40.71649,-74.04105,3199,Newport Pkwy,40.728744799999994,-74.03210820000001,109
1563,3277,Communipaw & Berry Lane,40.71435836870427,-74.06661093235016,3225,Baldwin at Montgomery,40.7236589,-74.0641943,32
1564,3273,Manila & 1st,40.72165072487999,-74.04288411140442,3277,Communipaw & Berry Lane,40.71435836870427,-74.06661093235016,26
1565,3678,Fairmount Ave,40.72572613742557,-74.07195925712584,3679,Bergen Ave,40.72210378668603,-74.07145500183104,41
1566,3792,Columbus Dr at Exchange Pl,40.71687,-74.03281,3281,Leonard Gordon Park,40.74590996631558,-74.05727148056029,10
1567,3678,Fairmount Ave,40.72572613742557,-74.07195925712584,3205,JC Medical Center,40.71653978099194,-74.0496379137039,30
1568,3678,Fairmount Ave,40.72572613742557,-74.07195925712584,3191,Union St,40.71821129999999,-74.08363940000001,32
1569,3210,Pershing Field,40.742677141,-74.051788633,3678,Fairmount Ave,40.72572613742557,-74.07195925712584,17
1570,3677,Glenwood Ave,40.72755146730012,-74.07106071710588,3202,Newport PATH,40.7272235,-74.03375890000001,28
1571,3225,Baldwin at Montgomery,40.7236589,-74.0641943,3280,Astor Place,40.71928220070703,-74.07126188278198,36
1572,3678,Fairmount Ave,40.72572613742557,-74.07195925712584,3481,York St,40.71649,-74.04105,9
1573,3196,Riverview Park,40.7443187,-74.04399090000001,3278,Monmouth and 6th,40.72568548362901,-74.0487903356552,19
1574,3191,Union St,40.71821129999999,-74.08363940000001,3279,Dixon Mills,40.72163014263835,-74.04996782541275,3
1575,3694,Jackson Square,40.71113,-74.0789,3273,Manila & 1st,40.72165072487999,-74.04288411140442,17
1576,3678,Fairmount Ave,40.72572613742557,-74.07195925712584,3280,Astor Place,40.71928220070703,-74.07126188278198,108
1577,3679,Bergen Ave,40.72210378668603,-74.07145500183104,3205,JC Medical Center,40.71653978099194,-74.0496379137039,28
1578,3194,McGinley Square,40.7253399253558,-74.06762212514876,3272,Jersey & 3rd,40.723331586464354,-74.04595255851744,11
1579,3277,Communipaw & Berry Lane,40.71435836870427,-74.06661093235016,3267,Morris Canal,40.7124188237569,-74.03852552175522,25
1580,3201,Dey St,40.737711,-74.066921,3210,Pershing Field,40.742677141,-74.051788633,40
1581,3192,Liberty Light Rail,40.711242299999995,-74.0557013,3198,Heights Elevator,40.748715945380226,-74.04044330120088,20
1582,3201,Dey St,40.737711,-74.066921,3678,Fairmount Ave,40.72572613742557,-74.07195925712584,72
1583,3198,Heights Elevator,40.748715945380226,-74.04044330120088,3205,JC Medical Center,40.71653978099194,-74.0496379137039,61
1584,3273,Manila & 1st,40.72165072487999,-74.04288411140442,3202,Newport PATH,40.7272235,-74.03375890000001,177
1585,3198,Heights Elevator,40.748715945380226,-74.04044330120088,3213,Van Vorst Park,40.71848892,-74.047726625,27
1586,3192,Liberty Light Rail,40.711242299999995,-74.0557013,3206,Hilltop,40.7311689,-74.0575736,37
1587,3481,York St,40.71649,-74.04105,3268,Lafayette Park,40.71346382669195,-74.06285852193831,7
1588,3225,Baldwin at Montgomery,40.7236589,-74.0641943,3276,Marin Light Rail,40.71458403535893,-74.04281705617905,50
1589,3193,Lincoln Park,40.7246050998869,-74.07840594649316,3213,Van Vorst Park,40.71848892,-74.047726625,37
1590,3679,Bergen Ave,40.72210378668603,-74.07145500183104,3268,Lafayette Park,40.71346382669195,-74.06285852193831,15
1591,3193,Lincoln Park,40.7246050998869,-74.07840594649316,3185,City Hall,40.717732500000004,-74.04384499999999,63
1592,3679,Bergen Ave,40.72210378668603,-74.07145500183104,3206,Hilltop,40.7311689,-74.0575736,19
1593,3184,Paulus Hook,40.7141454,-74.0335519,3273,Manila & 1st,40.72165072487999,-74.04288411140442,70
